


//Sample Data

1,Rutuja,19,27,45,18,25,42,15,24,41,16,23,44,10,15,30
2,Nikita,18,28,38,15,25,45,17,25,48,19,26,48,14,22,47
3,Rajeshwari,12,28,41,16,25,35,16,23,46,19,26,43,14,24,44
4,Isha,13,22,44,17,27,33,16,20,38,12,19,31,16,28,43
5,Vaishnavi,10,26,46,16,19,40,13,26,48,11,22,44,11,12,43
6,Dnyaneshwari,16,21,41,9,12,23,15,25,45,12,23,43,14,24,34
7,Aditi,15,25,45,13,20,37,14,23,41,8,13,34,10,19,45
8,Harshali,14,23,49,12,23,34,10,9,35,14,29,49,9,7,41
9,Rutuja,19,27,45,18,25,42,15,24,41,16,23,44,10,15,30
10,Nikita,18,28,38,15,25,45,17,25,48,19,26,48,14,22,47
11,Rajeshwari,12,28,41,16,25,35,16,23,46,19,26,43,14,24,44
12,Isha,13,22,44,17,27,33,16,20,38,12,19,31,16,28,43
13,Rutuja,19,27,45,18,25,42,15,24,41,16,23,44,10,15,30
14,Nikita,18,28,38,15,25,45,17,25,48,19,26,48,14,22,47
15,Rajeshwari,12,28,41,16,25,35,16,23,46,19,26,43,14,24,44
16,Isha,13,22,44,17,27,33,16,20,38,12,19,31,16,28,43
17,Rutuja,19,27,45,18,25,42,15,24,41,16,23,44,10,15,30
18,Nikita,18,28,38,15,25,45,17,25,48,19,26,48,14,22,47
19,Rajeshwari,12,28,41,16,25,35,16,23,46,19,26,43,14,24,44
20,Vaishnavi,10,26,46,16,19,40,13,26,48,11,22,44,11,12,43
21,Dnyaneshwari,16,21,41,9,12,23,15,25,45,12,23,43,14,24,34
22,Aditi,15,25,45,13,20,37,14,23,41,8,13,34,10,19,45
23,Harshali,14,23,49,12,23,34,10,9,35,14,29,49,9,7,41
24,Vaishnavi,10,26,46,16,19,40,13,26,48,11,22,44,11,12,43
25,Dnyaneshwari,16,21,41,9,12,23,15,25,45,12,23,43,14,24,34
26,Aditi,15,25,45,13,20,37,14,23,41,8,13,34,10,19,45
27,Harshali,14,23,49,12,23,34,10,9,35,14,29,49,9,7,41
28,Isha,13,22,44,17,27,33,16,20,38,12,19,31,16,28,43
29,Rutuja,19,27,45,18,25,42,15,24,41,16,23,44,10,15,30
30,Nikita,18,28,38,15,25,45,17,25,48,19,26,48,14,22,47
31,Rajeshwari,12,28,41,16,25,35,16,23,46,19,26,43,14,24,44
32,Isha,13,22,44,17,27,33,16,20,38,12,19,31,16,28,43
33,Rutuja,19,27,45,18,25,42,15,24,41,16,23,44,10,15,30
34,Nikita,18,28,38,15,25,45,17,25,48,19,26,48,14,22,47
35,Rajeshwari,12,28,41,16,25,35,16,23,46,19,26,43,14,24,44
36,Isha,13,22,44,17,27,33,16,20,38,12,19,31,16,28,43
37,Rutuja,19,27,45,18,25,42,15,24,41,16,23,44,10,15,30
38,Nikita,18,28,38,15,25,45,17,25,48,19,26,48,14,22,47
39,Rajeshwari,12,28,41,16,25,35,16,23,46,19,26,43,14,24,44
40,Isha,13,22,44,17,27,33,16,20,38,12,19,31,16,28,43
41,Vaishnavi,10,26,46,16,19,40,13,26,48,11,22,44,11,12,43
42,Dnyaneshwari,16,21,41,9,12,23,15,25,45,12,23,43,14,24,34
43,Aditi,15,25,45,13,20,37,14,23,41,8,13,34,10,19,45
44,Harshali,14,23,49,12,23,34,10,9,35,14,29,49,9,7,41
45,Vaishnavi,10,26,46,16,19,40,13,26,48,11,22,44,11,12,43
46,Dnyaneshwari,16,21,41,9,12,23,15,25,45,12,23,43,14,24,34
47,Aditi,15,25,45,13,20,37,14,23,41,8,13,34,10,19,45
48,Harshali,14,23,49,12,23,34,10,9,35,14,29,49,9,7,41
49,Harshali,14,23,49,12,23,34,10,9,35,14,29,49,9,7,41
50,Vaishnavi,10,26,46,16,19,40,13,26,48,11,22,44,11,12,43
51,Dnyaneshwari,16,21,41,9,12,23,15,25,45,12,23,43,14,24,34
52,Harshali,14,23,49,12,23,34,10,9,35,14,29,49,9,7,41
53,Vaishnavi,10,26,46,16,19,40,13,26,48,11,22,44,11,12,43
54,Dnyaneshwari,16,21,41,9,12,23,15,25,45,12,23,43,14,24,34
55,Aditi,15,25,45,13,20,37,14,23,41,8,13,34,10,19,45
56,Harshali,14,23,49,12,23,34,10,9,35,14,29,49,9,7,41
57,Vaishnavi,10,26,46,16,19,40,13,26,48,11,22,44,11,12,43
58,Dnyaneshwari,16,21,41,9,12,23,15,25,45,12,23,43,14,24,34
59,Aditi,15,25,45,13,20,37,14,23,41,8,13,34,10,19,45
60,Harshali,14,23,49,12,23,34,10,9,35,14,29,49,9,7,41
61,Dnyaneshwari,16,21,41,9,12,23,15,25,45,12,23,43,14,24,34
62,Harshali,14,23,49,12,23,34,10,9,35,14,29,49,9,7,41
63,Vaishnavi,10,26,46,16,19,40,13,26,48,11,22,44,11,12,43
64,Dnyaneshwari,16,21,41,9,12,23,15,25,45,12,23,43,14,24,34
65,Aditi,15,25,45,13,20,37,14,23,41,8,13,34,10,19,45
66,Harshali,14,23,49,12,23,34,10,9,35,14,29,49,9,7,41
67,Vaishnavi,10,26,46,16,19,40,13,26,48,11,22,44,11,12,43
68,Dnyaneshwari,16,21,41,9,12,23,15,25,45,12,23,43,14,24,34
69,Aditi,15,25,45,13,20,37,14,23,41,8,13,34,10,19,45
70,Harshali,14,23,49,12,23,34,10,9,35,14,29,49,9,7,41
71,Aditi,15,25,45,13,20,37,14,23,41,8,13,34,10,19,45
72,Harshali,14,23,49,12,23,34,10,9,35,14,29,49,9,7,41
73,Vaishnavi,10,26,46,16,19,40,13,26,48,11,22,44,11,12,43
74,Dnyaneshwari,16,21,41,9,12,23,15,25,45,12,23,43,14,24,34
75,Aditi,15,25,45,13,20,37,14,23,41,8,13,34,10,19,45
76,Harshali,14,23,49,12,23,34,10,9,35,14,29,49,9,7,41
77,Vaishnavi,10,26,46,16,19,40,13,26,48,11,22,44,11,12,43
78,Dnyaneshwari,16,21,41,9,12,23,15,25,45,12,23,43,14,24,34
79,Aditi,15,25,45,13,20,37,14,23,41,8,13,34,10,19,45
80,Harshali,14,23,49,12,23,34,10,9,35,14,29,49,9,7,41
81,Dnyaneshwari,16,21,41,9,12,23,15,25,45,12,23,43,14,24,34
82,Harshali,14,23,49,12,23,34,10,9,35,14,29,49,9,7,41
83,Vaishnavi,10,26,46,16,19,40,13,26,48,11,22,44,11,12,43
84,Dnyaneshwari,16,21,41,9,12,23,15,25,45,12,23,43,14,24,34
85,Aditi,15,25,45,13,20,37,14,23,41,8,13,34,10,19,45
86,Harshali,14,23,49,12,23,34,10,9,35,14,29,49,9,7,41
87,Vaishnavi,10,26,46,16,19,40,13,26,48,11,22,44,11,12,43
88,Dnyaneshwari,16,21,41,9,12,23,15,25,45,12,23,43,14,24,34
89,Aditi,15,25,45,13,20,37,14,23,41,8,13,34,10,19,45
90,Harshali,14,23,49,12,23,34,10,9,35,14,29,49,9,7,41
91,Dnyaneshwari,16,21,41,9,12,23,15,25,45,12,23,43,14,24,34
92,Harshali,14,23,49,12,23,34,10,9,35,14,29,49,9,7,41
93,Vaishnavi,10,26,46,16,19,40,13,26,48,11,22,44,11,12,43
94,Dnyaneshwari,16,21,41,9,12,23,15,25,45,12,23,43,14,24,34
95,Aditi,15,25,45,13,20,37,14,23,41,8,13,34,10,19,45
96,Harshali,14,23,49,12,23,34,10,9,35,14,29,49,9,7,41
97,Vaishnavi,10,26,46,16,19,40,13,26,48,11,22,44,11,12,43
98,Dnyaneshwari,16,21,41,9,12,23,15,25,45,12,23,43,14,24,34
99,Aditi,15,25,45,13,20,37,14,23,41,8,13,34,10,19,45
100,Harshali,14,23,49,12,23,34,10,9,35,14,29,49,9,7,41
